Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
Murphy Oil,MUR,28.09,$4.8B,1,3.56%,-9.80%
International Paper,IP,52.15,$21.4B,1.85,3.55%,-1.70%
People's United Financial,PBCT,19.19,$6B,0.68,3.54%,-0.90%
Public Storage,PSA,225.76,$39.2B,8,3.54%,1.00%
Western Union Co,WU,19.82,$9.5B,0.7,3.53%,-8.70%
Coach Inc.,COH,38.21,$10.7B,1.35,3.53%,9.10%
General Growth Properties Inc.,GGP,25.02,$22.2B,0.88,3.52%,0.20%
CF Industries Holdings Inc,CF,34.11,$8B,1.2,3.52%,8.40%
Mid-America Apartments,MAA,99.62,$11.3B,3.48,3.49%,1.70%
Invesco Ltd.,IVZ,32.54,$13.3B,1.12,3.44%,7.30%
Cisco Systems,CSCO,33.74,$169.4B,1.16,3.44%,11.60%
Digital Realty Trust,DLR,104.15,$16.6B,3.52,3.38%,6.00%
Eversource Energy,ES,56.15,$17.8B,1.9,3.38%,1.70%
Reynolds American Inc.,RAI,60.73,$86.6B,2.04,3.36%,8.40%
DTE Energy Co.,DTE,98.12,$17.6B,3.3,3.36%,-0.40%
Prologis,PLD,50.19,$26.6B,1.68,3.35%,-4.90%
Altria Group Inc,MO,72.97,$141.8B,2.44,3.34%,7.90%
Pinnacle West Capital,PNW,78.7,$8.8B,2.62,3.33%,0.90%
HP Inc.,HPQ,15.95,$27.2B,0.53,3.33%,7.50%
UDR Inc,UDR,35.59,$9.5B,1.18,3.32%,-2.40%
Alliant Energy Corp,LNT,38.08,$8.7B,1.26,3.31%,0.50%
Ameren Corp,AEE,53.37,$12.9B,1.76,3.30%,1.70%
Boeing Company,BA,172.71,$105.8B,5.68,3.29%,10.90%
Equity Residential,EQR,61.58,$22.5B,2.02,3.27%,-4.30%
The Mosaic Company,MOS,33.59,$11.8B,1.1,3.27%,14.50%
Nordstrom,JWN,45.69,$7.9B,1.48,3.24%,-4.70%
General Mills,GIS,59.23,$34.4B,1.92,3.24%,-4.10%
Xcel Energy Inc,XEL,42,$21.3B,1.36,3.24%,3.20%
T. Rowe Price Group,TROW,71.1,$17.3B,2.28,3.21%,-5.50%
Phillips 66,PSX,78.66,$40.8B,2.52,3.20%,-9.00%
Apartment Investment & Mgmt,AIV,45.01,$7B,1.44,3.20%,-1
V.F. Corp.,VFC,52.68,$21.8B,1.68,3.19%,-1.30%
"CA, Inc.",CA,32.09,$13.4B,1.02,3.18%,1.00%
"AvalonBay Communities, Inc.",AVB,178.54,$24.5B,5.68,3.18%,0.80%
General Electric,GE,30.37,$268.7B,0.96,3.16%,-3.90%
Caterpillar Inc.,CAT,98.85,$58B,3.08,3.12%,6.60%
