Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
GT,The Goodyear Tire & Rubber Company,36.07,0.4,1.1062,1/30/17,3/1/17
GTWN,Georgetown Bancorp Inc.,25.8,0.2,0.7737,2/1/17,2/17/17
GULF,WisdomTree Trust,18.08,0.01952,0.1092,12/23/16,12/30/16
GWRS,Global Water Resources Inc.,8.7,0.27,3.1214,2/10/17,2/28/17
HAFC,Hanmi Financial Corporation,33.65,0.76,2.2386,2/3/17,2/23/17
HAS,Hasbro Inc.,98.5,2.04,2.0893,1/30/17,2/15/17
HAYN,Haynes International Inc.,41.83,0.88,2.1118,11/29/16,12/15/16
HBAN,Huntington Bancshares Incorporated,14.13,0.32,2.2583,12/16/16,1/2/17
HBCP,Home Bancorp Inc.,36.7,0.52,1.4404,2/2/17,2/17/17
HBHC,Hancock Holding Company,46.8,0.96,2.0426,12/1/16,12/15/16
HBNC,Horizon Bancorp (IN),26.25,0.44,1.6667,1/4/17,1/20/17
HCAP,Harvest Capital Credit Corporation,14.03,1.35,9.4472,2/14/17,2/23/17
HCSG,Healthcare Services Group Inc.,41.55,0.745,1.7909,2/15/17,3/24/17
HDNG,Hardinge Inc.,11,0.08,0.7299,11/29/16,12/9/16
HEES,H&E Equipment Services Inc.,24.33,1.1,4.4409,11/17/16,12/9/16
HEOP,Heritage Oaks Bancorp,13.81,0.24,1.7442,2/13/17,2/28/17
HFBC,HopFed Bancorp Inc.,15.01,0.16,1.0695,12/29/16,1/20/17
HFBL,Home Federal Bancorp Inc. of Louisiana,28,0.36,1.2857,1/19/17,2/6/17
HFWA,Heritage Financial Corporation,25.25,0.48,1.8787,2/7/17,2/23/17
HIFS,Hingham Institution for Savings,188.8,1.28,0.6772,1/4/17,1/18/17
HNNA,Hennessy Advisors Inc.,27.78,0.45,1.6049,2/8/17,3/6/17
HNRG,Hallador Energy Company,9.25,0.16,1.7003,1/27/17,2/17/17
HOFT,Hooker Furniture Corporation,33.15,0.48,1.4568,12/13/16,12/30/16
HOLI,Hollysys Automation Technologies Ltd.,17.42,0.2,1.1635,10/24/16,11/11/16
HOMB,Home BancShares Inc.,28.01,0.36,1.2802,2/6/17,3/1/17
HOPE,Hope Bancorp Inc.,21.63,0.48,2.2253,2/1/17,2/17/17
HRZN,Horizon Technology Finance Corporation,11.55,1.2,10.3004,2/17/17,3/15/17
HSII,Heidrick & Struggles International Inc.,21.8,0.52,2.3744,2/1/17,2/17/17
HSNI,HSN Inc.,35.95,1.4,3.8943,12/5/16,12/20/16
HTBK,Heritage Commerce Corp,14.21,0.4,2.7797,2/8/17,2/24/17
HTLD,Heartland Express Inc.,20.53,0.08,0.385,12/2/16,12/16/16
HTLF,Heartland Financial USA Inc.,49.1,0.44,0.9007,2/15/17,3/3/17
HURC,Hurco Companies Inc.,28,0.36,1.2654,12/23/16,1/9/17
HWBK,Hawthorn Bancshares Inc.,19.95,0.24,1.2035,12/13/16,1/1/17
HYLS,First Trust Exchange-Traded Fund IV,48.89,2.46,5.0348,1/20/17,1/31/17
HYND,WisdomTree Trust,21.1798,1.08,5.0432,2/17/17,2/24/17
HYXE,iShares Trust,51.85,3.027456,5.8389,2/1/17,2/7/17
HYZD,WisdomTree Trust,23.91,1.32,5.4977,2/17/17,2/24/17
IBB,iShares Trust,294.35,0.367612,0.1255,12/22/16,12/29/16
IBCP,Independent Bank Corporation,21.55,0.4,1.8519,2/6/17,2/15/17
IBKC,IBERIABANK Corporation,85.25,1.44,1.6686,12/28/16,1/27/17
IBKR,Interactive Brokers Group Inc.,38.69,0.4,1.0304,11/29/16,12/14/16
IBTX,Independent Bank Group Inc,66.3,0.4,0.5997,2/2/17,2/16/17
ICBK,County Bancorp Inc.,28,0.2,0.7115,11/30/16,12/16/16
ICLN,iShares Trust,8.73,0.290042,3.3262,12/22/16,12/29/16
IDCC,InterDigital Inc.,99.6,1.2,1.2006,1/9/17,1/25/17
IDLB,PowerShares Exchange-Traded Fund Trust II,25.54,1.05844,4.1442,12/16/16,12/30/16
IEUS,iShares Trust,46.27,0.571008,1.2267,12/21/16,12/28/16
IFGL,iShares Trust,27.43,5.19046,18.9088,12/22/16,12/29/16
IFV,First Trust Exchange-Traded Fund VI,19.19,0.1256,0.6511,12/21/16,12/30/16
IGF,iShares Trust,40.325,1.067466,2.6396,12/22/16,12/29/16
IGOV,iShares Trust,90.24,0.261444,0.2883,2/1/17,2/7/17
IIIN,Insteel Industries Inc.,37.46,0.12,0.3153,12/12/16,1/6/17
ILG,ILG Inc,18.98,0.48,2.5144,12/2/16,12/20/16
IMED,ETF Managers Trust,24.78,0.60016,2.4678,12/28/16,1/3/17
IMKTA,Ingles Markets Incorporated,46.8,0.66,1.4209,1/4/17,1/12/17
INBK,First Internet Bancorp,31.55,0.24,0.7692,12/28/16,1/17/17
INDB,Independent Bank Corp.,63.8,1.16,1.8225,12/21/16,1/6/17
INDY,iShares Trust,30.05,0.058762,0.1957,12/22/16,12/29/16
INTC,Intel Corporation,36.48,1.04,2.8564,2/3/17,3/1/17
INTU,Intuit Inc.,119.86,1.36,1.1406,1/6/17,1/18/17
IOSP,Innospec Inc.,70.6,0.68,0.9735,11/10/16,11/24/16
IPAR,Inter Parfums Inc.,35.4,0.68,1.9484,12/28/16,1/13/17
IPCC,Infinity Property and Casualty Corporation,89,2.08,2.324,12/7/16,12/23/16
IPHS,Innophos Holdings Inc.,49.67,1.92,3.8647,11/16/16,12/2/16
IPKW,PowerShares Exchange-Traded Fund Trust II,30.395,1.0674,3.4917,12/16/16,12/30/16
ISBC,Investors Bancorp Inc.,14.9,0.32,2.152,2/8/17,2/24/17
ISIL,Intersil Corporation,22.18,0.48,2.1622,2/10/17,2/24/17
ISTR,Investar Holding Corporation,20.2,0.0484,0.2408,12/30/16,1/31/17
ITEQ,ETF Managers Trust,27.15,0.3674,1.3592,12/28/16,1/3/17
ITIC,Investors Title Company,134.86,0.8,0.5977,11/29/16,12/15/16
IXUS,iShares Trust,53.61,1.093238,2.0328,12/21/16,12/28/16
JACK,Jack In The Box Inc.,107.46,1.6,1.4639,12/1/16,12/16/16
JBHT,J.B. Hunt Transport Services Inc.,101.04,0.92,0.9135,2/8/17,2/24/17
JCOM,j2 Global Inc.,82.31,1.46,1.7321,2/17/17,3/9/17
JCS,Communications Systems Inc.,4.72,0.16,3.397,12/13/16,1/3/17
JJSF,J & J Snack Foods Corp.,129.85,1.68,1.293,12/19/16,1/11/17
JKHY,Jack Henry & Associates Inc.,92.53,1.12,1.2142,11/29/16,12/16/16
JKI,iShares Trust,150.02,3.391456,2.2562,12/21/16,12/28/16
JOUT,Johnson Outdoors Inc.,33.76,0.36,1.0698,1/10/17,1/26/17
JRVR,James River Group Holdings Ltd.,43.89,1.2,1.81,12/14/16,12/29/16
JSMD,Janus Detroit Street Trust,32.4755,0.306488,0.9454,12/23/16,12/30/16
JSML,Janus Detroit Street Trust,31.0352,0.554776,1.7876,12/23/16,12/30/16
JXSB,Jacksonville Bancorp Inc.,30.01,0.4,1.3329,12/21/16,1/4/17
KALU,Kaiser Aluminum Corporation,82.07,2,2.4319,1/25/17,2/15/17
KBAL,Kimball International Inc.,16.56,0.24,1.4502,12/21/16,1/13/17
KBWB,PowerShares Exchange-Traded Fund Trust II,49.6,1.06056,2.1331,12/16/16,12/30/16
