"Company","Symbol","Current Price","Market Cap","Dividend","Yield","52-Week Return"
"Wyndham Worldwide","WYN",84.85,"$9.1B",2.0,"2.36%","11.1%"
"Nucor Corp.","NUE",63.9,"$20.4B",1.51,"2.36%","7.4%"
"United Technologies","UTX",112.15,"$90.4B",2.64,"2.35%","2.3%"
"Ameriprise Financial","AMP",128.99,"$20B",3.0,"2.33%","16.3%"
"Hasbro Inc.","HAS",98.5,"$12.3B",2.28,"2.31%","26.6%"
"Tegna, Inc.","TGNA",24.37,"$5.2B",0.56,"2.3%","13.9%"
"The Hershey Company","HSY",107.25,"$22.2B",2.47,"2.3%","3.7%"
"Kinder Morgan","KMI",21.77,"$48.6B",0.5,"2.3%","5.1%"
"Automatic Data Processing","ADP",99.68,"$44.7B",2.28,"2.29%","-3.0%"
"Ryder System","R",77.17,"$4.1B",1.76,"2.28%","3.7%"
"C. H. Robinson Worldwide","CHRW",79.06,"$11.2B",1.8,"2.28%","7.9%"
"Waste Management Inc.","WM",72.45,"$31.9B",1.64,"2.26%","2.2%"
"Whirlpool Corp.","WHR",177.19,"$13.2B",4.0,"2.26%","-2.5%"
"Huntington Bancshares","HBAN",14.13,"$15.3B",0.32,"2.26%","6.9%"
"Corning Inc.","GLW",27.65,"$25.7B",0.62,"2.24%","13.9%"
"ConocoPhillips","COP",47.51,"$58.8B",1.06,"2.23%","-5.2%"
"Cardinal Health Inc.","CAH",80.71,"$25.5B",1.8,"2.22%","12.1%"
"JM Smucker","SJM",135.95,"$15.8B",3.0,"2.21%","6.2%"
"Union Pacific","UNP",109.82,"$89.4B",2.42,"2.2%","5.9%"
"Xilinx Inc","XLNX",60.06,"$15B",1.32,"2.2%","-0.5%"
"Dover Corp.","DOV",79.94,"$12.4B",1.76,"2.2%","6.7%"
"The Travelers Companies Inc.","TRV",121.95,"$34.1B",2.68,"2.2%","-0.4%"
"Boston Properties","BXP",137.19,"$21.1B",3.0,"2.19%","9.1%"
"Assurant Inc","AIZ",96.75,"$5.4B",2.12,"2.19%","4.2%"
"Medtronic plc","MDT",78.88,"$108.3B",1.72,"2.18%","10.7%"
"Deere & Co.","DE",110.27,"$35.1B",2.4,"2.18%","7.0%"
"Patterson Companies","PDCO",44.08,"$4.3B",0.96,"2.18%","7.4%"
"Analog Devices, Inc.","ADI",82.48,"$25.5B",1.8,"2.18%","13.6%"
"Colgate-Palmolive","CL",71.98,"$64B",1.56,"2.17%","10.0%"
"CME Group Inc.","CME",122.62,"$41.6B",2.64,"2.15%","6.3%"
"American Tower Corp A","AMT",108.11,"$46B",2.32,"2.15%","2.3%"
"Equinix","EQIX",374.28,"$26.7B",8.0,"2.14%","4.7%"
"Honeywell Int'l Inc.","HON",124.56,"$94.8B",2.66,"2.14%","7.5%"
"JPMorgan Chase & Co.","JPM",90.23,"$322.9B",1.92,"2.13%","4.6%"
"Eaton Corporation","ETN",71.63,"$32.4B",1.52,"2.12%","6.8%"
"Republic Services Inc","RSG",60.75,"$20.6B",1.28,"2.11%","6.5%"
"Intl Flavors & Fragrances","IFF",122.37,"$9.7B",2.56,"2.09%","3.9%"
"Wynn Resorts Ltd","WYNN",95.91,"$9.8B",2.0,"2.09%","10.9%"
"Tiffany & Co.","TIF",86.18,"$10.7B",1.8,"2.09%","11.3%"
"Avery Dennison Corp","AVY",79.41,"$7.1B",1.64,"2.07%","13.1%"
"American International Group, Inc.","AIG",62.5,"$62.2B",1.28,"2.05%","-4.3%"
"U.S. Bancorp","USB",54.88,"$93.1B",1.12,"2.04%","6.8%"
